hawes2
65537
3
6
0 2 39347
0 3 6329
0 4 45875
0 5 31189
1 2 26215
1 3 39318
1 4 13107
1 5 37348
2 2 13083
2 3 26513
2 5 40569
3 0 1
3 2 65533
3 3 49
3 4 17476
3 5 39417
4 2 36
4 3 19338
4 4 39322
4 5 52030
5 1 1
5 2 1
5 3 65525
5 5 26192
6 6 6
0 1 2
0 2 65535
0 3 39347
0 4 61168
0 5 19709
1 3 26215
1 4 15292
1 5 39323
2 0 1
2 1 65533
2 3 13083
2 4 2184
2 5 39221
3 1 21845
3 3 65533
3 5 8722
4 1 3
4 2 65534
4 3 36
4 5 39393
5 3 1
5 5 4
6 6 6
0 2 2
0 4 20392
0 5 45875
1 0 1
1 4 48788
1 5 13107
2 2 65533
2 4 44414
3 2 21845
3 4 7281
3 5 17476
4 1 1
4 2 3
4 4 4
4 5 39322
5 3 1
5 4 14564
6 6 6
