mth191
65537
3
27
0 3 1
1 6 1
2 8 1
3 9 1
4 11 1
5 13 1
6 14 1
7 15 1
8 16 1
9 0 1
9 4 65536
9 7 65536
10 18 1
11 19 1
12 20 1
13 21 1
14 0 65536
14 1 1
14 7 1
14 9 1
14 12 65536
15 22 1
16 0 65536
16 2 1
16 4 1
16 9 1
16 10 65536
17 23 1
18 24 1
19 1 65536
19 4 1
19 12 1
19 14 1
19 17 65536
20 25 1
21 0 2
21 1 65536
21 2 65536
21 4 65536
21 5 1
21 7 65536
21 9 65535
21 14 1
21 16 1
22 2 65536
22 7 1
22 10 1
22 16 1
22 17 65536
23 26 1
24 0 65536
24 1 2
24 4 65536
24 5 65536
24 7 1
24 9 1
24 10 1
24 12 65536
24 14 65535
24 19 1
24 21 1
25 0 65536
25 2 2
25 4 1
25 5 65536
25 7 65536
25 9 1
25 10 65536
25 12 1
25 16 65535
25 21 1
25 22 1
26 0 2
26 1 65536
26 2 65536
26 4 65536
26 5 2
26 7 65536
26 9 65535
26 10 65536
26 12 65536
26 14 1
26 16 1
26 17 1
26 21 65535
26 24 1
26 25 1
27 27 27
0 2 1
1 5 1
2 7 1
3 8 1
4 10 1
5 12 1
6 13 1
7 0 1
7 4 65536
7 9 65536
8 15 1
9 16 1
10 17 1
11 18 1
12 0 65536
12 1 1
12 7 1
12 9 1
12 14 65536
13 20 1
14 21 1
15 0 65536
15 3 1
15 4 1
15 7 1
15 11 65536
16 22 1
17 1 65536
17 4 1
17 12 1
17 14 1
17 19 65536
18 23 1
19 24 1
20 0 2
20 1 65536
20 3 65536
20 4 65536
20 6 1
20 7 65535
20 9 65536
20 12 1
20 15 1
21 25 1
22 3 65536
22 9 1
22 11 1
22 15 1
22 19 65536
23 0 65536
23 1 2
23 4 65536
23 6 65536
23 7 1
23 9 1
23 11 1
23 12 65535
23 14 65536
23 17 1
23 20 1
24 26 1
25 0 65536
25 3 2
25 4 1
25 6 65536
25 7 1
25 9 65536
25 11 65536
25 14 1
25 15 65535
25 20 1
25 22 1
26 0 2
26 1 65536
26 3 65536
26 4 65536
26 6 2
26 7 65535
26 9 65536
26 11 65536
26 12 1
26 14 65536
26 15 1
26 19 1
26 20 65535
26 23 1
26 25 1
27 27 27
0 1 1
1 4 1
2 5 1
3 6 1
4 0 1
4 7 65536
4 9 65536
5 10 1
6 11 1
7 12 1
8 13 1
9 14 1
10 0 65536
10 2 1
10 4 1
10 9 1
10 16 65536
11 0 65536
11 3 1
11 4 1
11 7 1
11 15 65536
12 17 1
13 18 1
14 19 1
15 20 1
16 21 1
17 2 65536
17 7 1
17 10 1
17 16 1
17 22 65536
18 0 2
18 2 65536
18 3 65536
18 4 65535
18 7 65536
18 8 1
18 9 65536
18 10 1
18 11 1
19 3 65536
19 9 1
19 11 1
19 15 1
19 22 65536
20 23 1
21 24 1
22 25 1
23 0 65536
23 2 2
23 4 1
23 7 65536
23 8 65536
23 9 1
23 10 65535
23 15 1
23 16 65536
23 17 1
23 18 1
24 0 65536
24 3 2
24 4 1
24 7 1
24 8 65536
24 9 65536
24 11 65535
24 15 65536
24 16 1
24 18 1
24 19 1
25 26 1
26 0 2
26 2 65536
26 3 65536
26 4 65535
26 7 65536
26 8 2
26 9 65536
26 10 1
26 11 1
26 15 65536
26 16 65536
26 18 65535
26 22 1
26 23 1
26 24 1
27 27 27
