gerdt4
65537
10
10
10 10 10
1 0 232
2 0 27306
3 0 14346
4 1 232
4 2 57706
4 3 18475
5 1 27306
5 2 36640
5 3 23047
6 1 14346
6 2 27457
6 3 13448
7 2 62323
7 3 54152
8 4 50103
8 5 64238
8 6 62568
8 7 64823
9 4 32796
9 5 11644
9 6 30062
9 7 38365
10 10 10
1 0 49034
2 0 7797
3 0 48354
4 1 49034
4 2 44213
4 3 26830
5 1 7797
5 2 28423
5 3 35749
6 1 48354
6 2 38219
6 3 6935
7 2 62041
7 3 26342
8 4 24929
8 5 42801
8 6 47561
8 7 6503
9 4 18654
9 5 1193
9 6 32736
9 7 39789
10 10 10
1 0 12800
2 0 21225
3 0 9755
4 1 12800
4 2 45662
4 3 11625
5 1 21225
5 2 31088
5 3 57885
6 1 9755
6 2 57944
6 3 31631
7 2 21404
7 3 40409
8 4 28735
8 5 16664
8 6 11312
8 7 60172
9 4 42473
9 5 35415
9 6 63614
9 7 17871
10 10 10
1 0 12443
2 0 7081
3 0 13735
4 1 12443
4 2 27610
4 3 12006
5 1 7081
5 2 50151
5 3 41123
6 1 13735
6 2 23606
6 3 31456
7 2 50095
7 3 45654
8 4 5722
8 5 63693
8 6 35839
8 7 35106
9 4 52383
9 5 51489
9 6 60963
9 7 52776
10 10 10
1 0 59066
2 0 55253
3 0 17033
4 1 59066
4 2 25627
4 3 1078
5 1 55253
5 2 31192
5 3 14598
6 1 17033
6 2 57264
6 3 13818
7 2 54887
7 3 4768
8 4 58337
8 5 37996
8 6 59313
8 7 56339
9 4 64896
9 5 9681
9 6 18476
9 7 42571
10 10 10
1 0 42774
2 0 39127
3 0 65191
4 1 42774
4 2 43131
4 3 53137
5 1 39127
5 2 53271
5 3 21869
6 1 65191
6 2 61211
6 3 38672
7 3 27836
8 4 16948
8 5 39961
8 6 25318
8 7 58469
9 4 64568
9 5 54658
9 6 61755
9 7 38584
10 10 10
3 0 1
4 2 51964
4 3 54895
5 2 41830
5 3 31836
6 1 1
6 2 46987
6 3 32449
7 2 18865
7 3 34357
8 4 8030
8 5 36830
8 6 55849
8 7 17866
9 4 21709
9 5 51447
9 6 55844
9 7 10449
10 10 10
2 0 1
4 3 51964
5 1 1
5 3 41830
6 3 46987
7 2 1
7 3 18865
8 5 35034
8 6 36830
8 7 53520
9 4 1
9 5 7187
9 6 51447
9 7 43439
10 10 10
1 0 1
4 1 1
5 2 1
6 3 1
8 4 1
8 6 8030
8 7 35034
9 5 1
9 6 21709
9 7 7187
10 10 10
